Frequency (MHz),Call Sign,Service Code,Licensee Name,Phone Number,Latitude,Longitude,Licensee Provided Details,Power ERP (W),Power Out (W),Distance (miles),Computed Power (dBm)
0.74,WVCH,AM,"WVCH COMMUNICATIONS, INC.",(267) 226-8777,39.88,-75.41,Language: English,1,0,108.91,-84.035
0.75,WBMD,AM,"FAMILY STATIONS, INC.",(712) 215-2640,39.31,-76.49,Language: English,0.8,0,39.56,-73.027
0.78,WAVA,AM,SALEM COMMUNICATIONS HOLDING CORPORATION,(703) 807-2266,38.98,-77.11,Language: English,12,0,7.64,-41.961
0.78,WAVA,AM,SALEM COMMUNICATIONS HOLDING CORPORATION,(703) 807-2266,38.98,-77.11,Language: English,9.8,0,7.64,-42.84
0.79,WAMM,AM,"SHENANDOAH VALLEY GROUP, INC.",(540) 217-6570,38.77,-78.62,Language: English,0.04,0,87.41,-95.956
0.79,WAMM,AM,"SHENANDOAH VALLEY GROUP, INC.",(540) 217-6570,38.77,-78.62,Language: English,1,0,87.41,-81.977
0.8,WCHA,AM,ALPHA MEDIA LICENSEE LLC,(717) 404-5390,39.93,-77.70,Language: English,0.2,0,79.83,-88.079
0.8,WCHA,AM,ALPHA MEDIA LICENSEE LLC,(717) 404-5390,39.93,-77.70,Language: English,1,0,79.83,-81.002
0.81,WYRE,AM,BAY BROADCASTING CORPORATION,,38.97,-76.51,,0.25,0,27.3,-74.314
0.82,WJFN,AM,DISRUPTOR RADIO LLC,(757) 488-1010,37.38,-77.43,,1,0,107.71,-84.794
0.82,WJFN,AM,DISRUPTOR RADIO LLC,(757) 488-1010,37.38,-77.43,,10,0,107.71,-74.794
0.82,WWFD,AM,"WASHINGTON DC FCC LICENSE SUB, LLC",(202) 439-2014,39.41,-77.47,Language: English,0.43,0,43.08,-77.515
0.82,WWFD,AM,"WASHINGTON DC FCC LICENSE SUB, LLC",(202) 439-2014,39.41,-77.47,Language: English,4.3,0,43.08,-67.515
0.84,WKDI,AM,"POSITIVE ALTERNATIVE RADIO, INC.",(540) 961-2377,38.90,-75.85,Language: English,1,0,62.18,-78.441
0.84,WKTR,AM,CSN INTERNATIONAL,,38.27,-78.41,,8.2,0,87.93,-73.442
0.85,WXPA,AM,"ZIP2, LLC",,40.30,-76.95,,3.4,0,96.79,-78.515
0.85,WXPA,AM,"ZIP2, LLC",,40.30,-76.95,,6.5,0,96.79,-75.701
0.86,WFSI,AM,"FAMILY STATIONS, INC.",(712) 215-2640,39.31,-76.49,Language: English,0.07,0,39.61,-85.065
0.86,WFSI,AM,"FAMILY STATIONS, INC.",(712) 215-2640,39.31,-76.49,Language: English,2.5,0,39.61,-69.281
0.89,WFKJ,AM,JESUS IS LORD MINISTRIES INTERNATIONAL,,39.88,-77.35,,0.89,0,70.11,-80.884
0.9,WCLM,AM,"ACR MEDIA, INC.",(305) 213-4655,39.08,-76.84,Language: Spanish,0.5,0,15.36,-65.355
0.9,WCLM,AM,"ACR MEDIA, INC.",(305) 213-4655,39.08,-76.84,Language: Spanish,1.9,0,15.36,-59.557
0.9,WJWL,AM,"THE VOICE RADIO, LLC",(302) 228-8942,38.71,-75.41,Language: English,0.14,0,87.44,-91.499
0.9,WJWL,AM,"THE VOICE RADIO, LLC",(302) 228-8942,38.71,-75.41,Language: English,1,0,87.44,-83.112
0.91,WRNL,AM,"ENTERCOM LICENSE, LLC",(918) 664-4581,37.61,-77.51,EAS type: LP-3; Language: English,1.5,0,93.35,-82.229
0.91,WRNL,AM,"ENTERCOM LICENSE, LLC",(918) 664-4581,37.61,-77.51,EAS type: LP-3; Language: English,5,0,93.35,-77
0.91,WSBA,AM,RADIO LICENSE HOLDING SRC LLC,(717) 478-4005,40.00,-76.75,Language: English,1,0,77.07,-81.701
0.91,WSBA,AM,RADIO LICENSE HOLDING SRC LLC,(717) 478-4005,40.00,-76.75,Language: English,5,0,77.07,-74.711
0.92,WURA,AM,"CAPITAL BROADCASTING VA, LLC",(301) 275-7358,38.57,-77.34,"Language: Spanish, English",0.97,0,29.28,-70.37
0.92,WURA,AM,"CAPITAL BROADCASTING VA, LLC",(301) 275-7358,38.57,-77.34,"Language: Spanish, English",7,0,29.28,-61.787
0.93,WFMD,AM,"CONNOISSEUR MEDIA LICENSES, LLC",(918) 664-4581,39.42,-77.46,"EAS type: BSPP, LP-1; Language: English",2.5,0,42.95,-70.928
0.93,WFMD,AM,"CONNOISSEUR MEDIA LICENSES, LLC",(918) 664-4581,39.42,-77.46,"EAS type: BSPP, LP-1; Language: English",5,0,42.95,-67.917
0.93,WNCL,AM,"FM RADIO LICENSES, LLC",(302) 740-4720,38.93,-75.49,Language: English,0.08,0,81.76,-93.511
0.93,WNCL,AM,"FM RADIO LICENSES, LLC",(302) 740-4720,38.93,-75.49,Language: English,0.5,0,81.76,-85.606
0.94,WADV,AM,"WADV RADIO, INC",,40.37,-76.36,,0.01,0,107.24,-108.939
0.94,WADV,AM,"WADV RADIO, INC",,40.37,-76.36,,1,0,107.24,-85.929
0.95,WCTN,AM,WIN RADIO BROADCASTING CORPORATION,(703) 793-5207,39.04,-77.20,Language: English,0.35,0,13.94,-66.215
0.95,WCTN,AM,WIN RADIO BROADCASTING CORPORATION,(703) 793-5207,39.04,-77.20,Language: English,2.5,0,13.94,-57.676
0.95,WXGI,AM,"RADIO ONE LICENSES, LLC",(804) 672-9299,37.51,-77.51,Language: English,0.04,0,99.85,-98.635
0.95,WXGI,AM,"RADIO ONE LICENSES, LLC",(804) 672-9299,37.51,-77.51,Language: English,3.9,0,99.85,-79.256
0.96,WHYL,AM,"WHYL, INC.",(717) 421-9217,40.19,-77.17,Language: English,0.02,0,89.62,-100.543
0.96,WHYL,AM,"WHYL, INC.",(717) 421-9217,40.19,-77.17,Language: English,5,0,89.62,-76.977
0.96,WTGM,AM,"CAPSTAR TX, LLC",(918) 664-4581,38.43,-75.62,EAS type: BSPP; Language: English,5,0,81.63,-75.863
0.97,WAMD,AM,"RADIO BROADCAST COMMUNICATIONS, INC.",(410) 935-6088,39.51,-76.19,Language: English,0.3,0,60.51,-84.595
0.97,WAMD,AM,"RADIO BROADCAST COMMUNICATIONS, INC.",(410) 935-6088,39.51,-76.19,Language: English,0.5,0,60.51,-82.376
0.98,WTEM,AM,"RADIO ONE LICENSES, LLC",(301) 466-6000,38.96,-76.97,Language: English,5,0,4.45,-41.291
0.98,WTEM,AM,"RADIO ONE LICENSES, LLC",(301) 466-6000,38.96,-76.97,Language: English,50,0,4.45,-31.291
0.99,WREJ,AM,RADIO RICHMOND LLC,(804) 301-4546,37.53,-77.38,Language: English,0.01,0,97.28,-104.075
0.99,WREJ,AM,RADIO RICHMOND LLC,(804) 301-4546,37.53,-77.38,Language: English,1,0,97.28,-85.214
1,WIOO,AM,"WIOO, INC.",(717) 421-9217,40.16,-77.20,Language: English,15,0,87.38,-72.258
1,WIOO,AM,"WIOO, INC.",(717) 421-9217,40.16,-77.20,Language: English,2.7,0,87.38,-79.706
1.01,WCST,AM,"METRO RADIO, INC.",,39.62,-78.22,,0.02,0,81.42,-100.959
1.01,WCST,AM,"METRO RADIO, INC.",,39.62,-78.22,,0.27,0,81.42,-88.949
1.01,WOLB,AM,"RADIO ONE LICENSES, LLC",(410) 332-8200,39.30,-76.57,,0.03,0,36.23,-88.821
1.01,WOLB,AM,"RADIO ONE LICENSES, LLC",(410) 332-8200,39.30,-76.57,,0.25,0,36.23,-79.613
1.03,WWGB,AM,"GOOD BODY MEDIA, LLC",(804) 502-1207,38.57,-76.82,Language: Spanish,50,0,25.52,-52.587
1.04,WZSK,AM,"NEW MILLENNIUM COMMUNICATIONS GROUP, INC.",(508) 237-0215,40.01,-78.36,Language: English,2.5,0,105.16,-82.593
1.04,WZSK,AM,"NEW MILLENNIUM COMMUNICATIONS GROUP, INC.",(508) 237-0215,40.01,-78.36,Language: English,4,0,105.16,-80.552
1.05,WBQH,AM,"WASHINGTON DC FCC LICENSE SUB, LLC",(202) 439-2014,39.01,-77.03,Language: English,0.04,0,7.74,-69.064
1.05,WBQH,AM,"WASHINGTON DC FCC LICENSE SUB, LLC",(202) 439-2014,39.01,-77.03,Language: English,10,0,7.74,-45.499
1.07,WINA,AM,"TIDEWATER COMMUNICATIONS, LLC",(716) 983-9164,38.09,-78.51,Language: English,5,0,98.78,-79.082
1.09,WBAL,AM,HEARST STATIONS INC.,(410) 261-2314,39.38,-76.77,"EAS type: PEP, LP-1, SP, BSPP; Language: English",50,0,35.02,-56.86
1.12,WUST,AM,"POTOMAC RADIO GROUP, INC.",(703) 732-9910,38.87,-76.90,"Language: English, Spanish",3,0,6.45,-49.112
1.12,WUST,AM,"POTOMAC RADIO GROUP, INC.",(703) 732-9910,38.87,-76.90,"Language: English, Spanish",50,0,6.45,-36.893
1.14,WRVA,AM,"ENTERCOM LICENSE, LLC",(918) 664-4581,37.40,-77.32,"EAS type: SP, LP-1; Language: English",50,0,105.09,-70.372
1.15,WDEL,AM,"FM RADIO LICENSES, LLC",(302) 740-4720,39.82,-75.53,Language: English,5,0,101.13,-79.99
1.16,WMET,AM,LA PROMESA FOUNDATION,(432) 352-8130,39.19,-77.22,Language: English,1.5,0,22.61,-67.402
1.16,WMET,AM,LA PROMESA FOUNDATION,(432) 352-8130,39.19,-77.22,Language: English,50,0,22.61,-52.173
1.19,WCRW,AM,"POTOMAC RADIO GROUP, INC.",(703) 732-9910,39.04,-77.45,"Language: English, Spanish",1.2,0,25.36,-69.965
1.19,WCRW,AM,"POTOMAC RADIO GROUP, INC.",(703) 732-9910,39.04,-77.45,"Language: English, Spanish",50,0,25.36,-53.767
1.22,WFAX,AM,NEWCOMB BROADCASTING CORP.,(703) 966-5742,38.88,-77.17,,0.05,0,8.97,-71.75
1.22,WFAX,AM,NEWCOMB BROADCASTING CORP.,(703) 966-5742,38.88,-77.17,,5,0,8.97,-51.573
1.23,WCMD,AM,WEST VIRGINIA RADIO CORPORATION OF THE ALLEGHENIES,(304) 342-8131,39.64,-78.74,Language: English,1,0,106.05,-88.13
1.23,WFVA,AM,"CENTENNIAL LICENSING II, LLC",(304) 283-6692,38.28,-77.44,Language: English,1,0,48.92,-78.89
1.23,WKBO,AM,"ONE HEART MINISTRIES, INC.",(717) 421-9217,40.28,-76.87,Language: English,0.48,0,95.58,-90.076
1.23,WRBS,AM,"WRBS-AM, LLC",(410) 247-4103,39.30,-76.57,Language: English,0.6,0,36.23,-77.523
1.24,WCEM,AM,"WBOC, INC.",(302) 448-1513,38.58,-76.08,EAS type: LP-3; Language: English,1,0,54.63,-80.278
1.24,WJEJ,AM,HAGERSTOWN BROADCASTING COMPANY,(301) 991-1318,39.67,-77.73,EAS type: BSPP,1,0,65.27,-82.404
1.24,WSNJ,AM,"SNJ TODAY, LLC",(856) 327-8800,39.46,-75.20,Language: English,1,0,104.09,-87.978
1.25,WRCW,AM,SALEM COMMUNICATIONS HOLDING CORPORATION,(703) 807-2266,38.73,-77.78,Language: English,0.12,0,43.2,-86.576
1.25,WRCW,AM,SALEM COMMUNICATIONS HOLDING CORPORATION,(703) 807-2266,38.73,-77.78,Language: English,3,0,43.2,-72.774
1.25,WYYC,AM,"STEEL CITY RADIO, INC.",(864) 529-2279,40.00,-76.70,,0.03,0,77.58,-99.352
1.25,WYYC,AM,"STEEL CITY RADIO, INC.",(864) 529-2279,40.00,-76.70,,1,0,77.58,-84.538
1.26,WCHV,AM,MONTICELLO MEDIA LLC,(434) 249-1558,38.11,-78.45,Language: English,0.8,0,95.45,-88.051
1.26,WCHV,AM,MONTICELLO MEDIA LLC,(434) 249-1558,38.11,-78.46,Language: English,2.5,0,95.46,-83.104
1.26,WCHV,AM,MONTICELLO MEDIA LLC,(434) 249-1558,38.11,-78.46,Language: English,5,0,95.46,-80.094
1.26,WQOF,AM,"RELEVANT RADIO, INC.",,39.00,-77.06,,35,0,7.17,-40.727
1.26,WQOF,AM,"RELEVANT RADIO, INC.",,39.00,-77.06,,5,0,7.17,-49.178
1.27,WCBC,AM,CUMBERLAND BROADCASTING COMPANY,(301) 724-5000,39.67,-78.78,Language: English,1,0,108.83,-88.717
1.27,WCBC,AM,CUMBERLAND BROADCASTING COMPANY,(301) 724-5000,39.67,-78.78,Language: English,5,0,108.83,-81.727
1.27,WLBR,AM,"FM RADIO LICENSES, LLC",(717) 507-9585,40.36,-76.46,Language: English,1,0,104.89,-88.277
1.27,WLBR,AM,"FM RADIO LICENSES, LLC",(717) 507-9585,40.36,-76.46,Language: English,5,0,104.89,-81.287
1.28,WHVR,AM,"FM RADIO LICENSES, LLC",(717) 515-0607,39.82,-77.01,Language: English,0.5,0,63.37,-85.338
1.28,WHVR,AM,"FM RADIO LICENSES, LLC",(717) 515-0607,39.82,-77.01,Language: English,5,0,63.37,-75.338
1.28,WSUX,AM,RUBY J. LOPEZ,(302) 296-8805,38.61,-75.59,,0.21,0,79.24,-91.753
1.28,WSUX,AM,RUBY J. LOPEZ,(302) 296-8805,38.61,-75.59,,0.84,0,79.24,-85.753
1.29,WWTX,AM,"CAPSTAR TX, LLC",(918) 664-4581,39.73,-75.53,Language: English,0.03,0,97.79,-102.525
1.29,WWTX,AM,"CAPSTAR TX, LLC",(918) 664-4581,39.73,-75.53,Language: English,2.5,0,97.79,-83.597
1.3,WJZ,AM,"ENTERCOM LICENSE, LLC",(410) 868-5939,39.33,-76.77,,5,0,32.35,-67.441
1.3,WKCY,AM,"CAPSTAR TX, LLC",(918) 664-4581,38.46,-78.81,Language: English,0.01,0,101.78,-111.131
1.3,WKCY,AM,"CAPSTAR TX, LLC",(918) 664-4581,38.46,-78.81,Language: English,6.4,0,101.78,-80.059
1.31,WDCT,AM,KBC BROADCASTING INC.,,38.85,-77.32,,0.5,0,16.96,-69.796
1.31,WDCT,AM,KBC BROADCASTING INC.,,38.85,-77.32,,5,0,16.96,-59.796
1.32,WGET,AM,"FM RADIO LICENSES, LLC",(717) 515-0607,39.84,-77.22,Language: English,0.5,0,65.91,-86.073
1.32,WGET,AM,"FM RADIO LICENSES, LLC",(717) 515-0607,39.84,-77.22,Language: English,1,0,65.91,-83.063
1.32,WJKI,AM,"THE VOICE RADIO, LLC",(443) 397-0729,38.36,-75.62,Language: English,0.03,0,84.02,-101.491
1.32,WJKI,AM,"THE VOICE RADIO, LLC",(443) 397-0729,38.36,-75.62,Language: English,1,0,84.02,-85.962
1.32,WVNZ,AM,"TBLC VIRGINIA HOLDINGS, LLC",(919) 943-1327,37.47,-77.45,"Language: English, Spanish",0.01,0,102.28,-109.28
1.32,WVNZ,AM,"TBLC VIRGINIA HOLDINGS, LLC",(919) 943-1327,37.47,-77.45,"Language: English, Spanish",5,0,102.28,-81.321
1.33,WESR,AM,"EASTERN SHORE RADIO, INC.",(757) 710-2591,37.72,-75.68,,0.05,0,109.09,-102.072
1.33,WESR,AM,"EASTERN SHORE RADIO, INC.",(757) 710-2591,37.72,-75.68,,5,0,109.09,-82.158
1.33,WHGM,AM,"IMPERIAL BROADCASTING COMPANY, LLC",(410) 652-9999,39.57,-76.12,Language: English,0.02,0,66.05,-99.538
1.33,WHGM,AM,"IMPERIAL BROADCASTING COMPANY, LLC",(410) 652-9999,39.57,-76.12,Language: English,0.5,0,66.05,-86.166
1.33,WHGM,AM,"IMPERIAL BROADCASTING COMPANY, LLC",(410) 652-9999,39.57,-76.12,Language: English,5,0,66.05,-76.166
1.33,WRAA,AM,"POSITIVE ALTERNATIVE RADIO, INC.",(704) 962-8257,38.66,-78.49,Language: English,0.03,0,81.74,-101.55
1.33,WRAA,AM,"POSITIVE ALTERNATIVE RADIO, INC.",(704) 962-8257,38.66,-78.49,Language: English,1,0,81.74,-85.7
1.34,WEPM,AM,WEST VIRGINIA RADIO CORPORATION OF THE ALLEGHENIES,(304) 342-8131,39.46,-77.99,Language: English,1,0,65.21,-83.066
1.34,WVCV,AM,"PIEDMONT COMMUNICATIONS, INC.",(434) 825-9882,38.25,-78.12,Language: English,1,0,75.1,-84.754
1.34,WYCB,AM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.96,-77.00,Language: English,1,0,3.59,-48.427
1.35,WNTX,AM,ALPHA MEDIA LICENSEE LLC,(703) 201-6610,38.31,-77.44,Language: English,0.04,0,47.03,-93.547
1.35,WNTX,AM,ALPHA MEDIA LICENSEE LLC,(703) 201-6610,38.31,-77.44,Language: English,1,0,47.03,-79.229
1.35,WOYK,AM,"YORK PROFESSIONAL BASEBALL CLUB, LLC",(717) 430-8060,39.93,-76.82,Language: English,1,0,71.98,-84.31
1.35,WOYK,AM,"YORK PROFESSIONAL BASEBALL CLUB, LLC",(717) 430-8060,39.93,-76.82,Language: English,5,0,71.98,-77.321
1.36,WHBG,AM,"TIDEWATER COMMUNICATIONS, LLC",(716) 983-9164,38.45,-78.91,Language: English,0.01,0,107.27,-109.597
1.36,WHBG,AM,"TIDEWATER COMMUNICATIONS, LLC",(716) 983-9164,38.45,-78.91,Language: English,5,0,107.27,-82.15
1.37,WQLL,AM,"M-10 BROADCASTING, INC.",,39.41,-76.78,,24,0,37.06,-62.707
1.37,WQLL,AM,"M-10 BROADCASTING, INC.",,39.44,-76.36,,50,0,50.98,-63.329
1.38,WBTK,AM,"MOUNT RICH MEDIA, LLC",(804) 502-1207,37.62,-77.45,Language: Spanish,5,0,91.88,-80.427
1.38,WLIN,AM,HJV LIMITED PARTNERSHIP,(717) 593-6161,39.74,-77.60,,0.02,0,65.97,-100.45
1.38,WLIN,AM,HJV LIMITED PARTNERSHIP,(717) 593-6161,39.74,-77.60,,1,0,65.97,-83.461
1.38,WTMC,AM,DELAWARE DEPARTMENT OF TRANSPORTATION,(252) 633-1490,39.70,-75.61,Language: English,0.01,0,92.99,-107.561
1.38,WTMC,AM,DELAWARE DEPARTMENT OF TRANSPORTATION,(252) 633-1490,39.70,-75.61,Language: English,0.25,0,92.99,-93.581
1.39,WLAN,AM,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",(918) 664-4581,40.06,-76.32,Language: English,0.02,0,88.13,-104.43
1.39,WLAN,AM,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",(918) 664-4581,40.06,-76.32,Language: English,1.1,0,88.13,-86.568
1.39,WZHF,AM,"WAY BROADCASTING LICENSEE, LLC",(212) 219-7392,38.87,-76.90,,1,0,6.45,-55.759
1.39,WZHF,AM,"WAY BROADCASTING LICENSEE, LLC",(212) 219-7392,38.87,-76.90,,9,0,6.45,-46.217
1.4,WHGB,AM,CUMULUS LICENSING LLC,(717) 629-9523,40.25,-76.87,Language: English,1,0,93.4,-87.737
1.4,WINC,AM,"CENTENNIAL LICENSING II, LLC",(540) 550-1662,39.19,-78.15,Language: English,1,0,64.53,-83.323
1.4,WKAV,AM,MONTICELLO MEDIA LLC,(434) 249-1558,38.03,-78.49,Language: English,1,0,100.43,-88.604
1.4,WWIN,AM,"RADIO ONE LICENSES, LLC",(410) 332-8200,39.30,-76.57,Language: English,0.5,0,36.23,-79.439
1.41,WDOV,AM,"CAPSTAR TX, LLC",(918) 664-4581,39.20,-75.57,Language: English,5,0,80.17,-78.985
1.41,WHAG,AM,ALPHA MEDIA LICENSEE LLC,(717) 404-5390,39.62,-77.74,,0.1,0,62.99,-93.14
1.41,WHAG,AM,ALPHA MEDIA LICENSEE LLC,(717) 404-5390,39.62,-77.74,,1,0,62.99,-83.096
1.42,WCOJ,AM,"HOLY SPIRIT RADIO FOUNDATION, INC.",(267) 893-9324,40.02,-75.81,,5,0,100.25,-81.716
1.42,WKCW,AM,RADIO COMPANION LIMITED LIABILITY COMPANY,,38.73,-77.78,,0.06,0,43.2,-90.871
1.42,WKCW,AM,RADIO COMPANION LIMITED LIABILITY COMPANY,,38.73,-77.78,,22,0,43.2,-65.229
1.42,WXGM,AM,"WXGM, INC.",(804) 694-6008,37.41,-76.55,,0.06,0,106.29,-101.771
1.42,WXGM,AM,"WXGM, INC.",(804) 694-6008,37.41,-76.55,,0.74,0,106.29,-90.713
1.43,WHAN,AM,"STU-COMM, INC.",(804) 798-1010,37.75,-77.50,Language: English,0.03,0,84.31,-101.786
1.43,WHAN,AM,"STU-COMM, INC.",(804) 798-1010,37.75,-77.50,Language: English,1,0,84.31,-86.7
1.43,WNAV,AM,SAJAK BROADCASTING CORP.,(410) 263-1430,38.98,-76.52,EAS type: BSPP; Language: English,1,0,26.69,-72.961
1.43,WNAV,AM,SAJAK BROADCASTING CORP.,(410) 263-1430,38.98,-76.52,EAS type: BSPP; Language: English,5,0,26.69,-65.971
1.44,WGLD,AM,RADIO LICENSE HOLDING SRC LLC,(717) 478-4005,40.00,-76.75,Language: English,0.05,0,77.09,-98.447
1.44,WGLD,AM,RADIO LICENSE HOLDING SRC LLC,(717) 478-4005,40.00,-76.75,Language: English,0.73,0,77.09,-87.057
1.45,WBTL,AM,"MOBILE RADIO PARTNERS, INC.",,37.54,-77.35,,0.96,0,95.8,-88.524
1.45,WFTR,AM,"ROYAL BROADCASTING, INC.",(540) 635-4121,38.91,-78.18,Language: English,1,0,62.93,-83.326
1.45,WILM,AM,"CITICASTERS LICENSES, INC.",(918) 664-4581,39.73,-75.55,Language: English,1,0,96.61,-88.446
1.45,WOL,AM,"RADIO ONE LICENSES, LLC",(310) 701-7511,38.96,-77.00,Language: English,0.37,0,3.59,-53.431
1.45,WTBO,AM,"FM RADIO LICENSES, LLC",(814) 977-0422,39.65,-78.75,EAS type: LP-2; Language: English,1,0,106.58,-89.619
1.45,WTHU,AM,"CHRISTIAN RADIO COALITION, INC.",,39.63,-77.40,,0.4,0,54.33,-85.551
1.45,WTHU,AM,"CHRISTIAN RADIO COALITION, INC.",,39.63,-77.40,,0.5,0,54.33,-84.582
1.45,WVAX,AM,"TIDEWATER COMMUNICATIONS, LLC",(716) 983-9164,38.05,-78.47,Language: English,1,0,98.83,-88.717
1.46,WKDV,AM,"METRO RADIO, INC.",(703) 659-0406,38.75,-77.51,Language: English,5,0,29.25,-67.246
1.46,WKDV,AM,"METRO RADIO, INC.",(703) 659-0406,38.75,-77.52,Language: English,0.06,0,29.31,-86.2
1.46,WKDV,AM,"METRO RADIO, INC.",(703) 659-0406,38.75,-77.52,Language: English,0.95,0,29.31,-74.484
1.46,WKHZ,AM,"RADIO BROADCAST COMMUNICATIONS, INC.",(410) 935-6088,38.77,-76.08,Language: English,0.5,0,50.73,-83.822
1.46,WKHZ,AM,"RADIO BROADCAST COMMUNICATIONS, INC.",(410) 935-6088,38.77,-76.08,Language: English,1,0,50.73,-80.812
1.46,WTKT,AM,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",(918) 664-4581,40.31,-76.94,Language: English,4.2,0,97.28,-82.356
1.46,WTKT,AM,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",(918) 664-4581,40.31,-76.94,Language: English,5,0,97.28,-81.599
1.47,WBTX,AM,"WBTX RADIO, LLC",(540) 810-9300,38.62,-78.81,Language: English,0.04,0,99.34,-103.335
1.47,WBTX,AM,"WBTX RADIO, LLC",(540) 810-9300,38.62,-78.81,Language: English,5,0,99.34,-81.909
1.47,WJDY,AM,"CAPSTAR TX, LLC",(918) 664-4581,38.39,-75.65,Language: English,0.04,0,81.61,-100.215
1.47,WJDY,AM,"CAPSTAR TX, LLC",(918) 664-4581,38.39,-75.65,Language: English,5,0,81.61,-79.56
1.47,WTTR,AM,"HILLTOP COMMUNICATIONS, LLC",(410) 848-5511,39.58,-77.02,Language: English,0.04,0,46.61,-94.419
1.47,WTTR,AM,"HILLTOP COMMUNICATIONS, LLC",(410) 848-5511,39.58,-77.02,Language: English,0.54,0,46.61,-82.536
1.48,WEEO,AM,"SHIPPENSBURG BROADCASTING, INC.",(717) 421-9217,40.08,-77.54,Language: English,0.01,0,85.79,-107.663
1.48,WEEO,AM,"SHIPPENSBURG BROADCASTING, INC.",(717) 421-9217,40.08,-77.54,Language: English,0.41,0,85.79,-91.078
1.48,WPWC,AM,"JMK COMMUNICATIONS, INC",(213) 494-3377,38.57,-77.34,"Language: English, Spanish",0.5,0,29.27,-77.371
1.48,WPWC,AM,"JMK COMMUNICATIONS, INC",(213) 494-3377,38.57,-77.34,"Language: English, Spanish",5,0,29.27,-67.371
